# file created by code in factory_simulation.jl
# file created on 2023-11-07 at 15:39:26
# parameter: seed = 1
# parameter: mean_interarrival = 60.0
# parameter: mean_construction_time = 25.0
# parameter: mean_interbreakdown_time = 2880.0
# parameter: mean_repair_time = 180.0
time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
       0.00,      0,      Arrival,       1,   0,   0,      0
      25.00,      4,     Departed,       2,   0,   1,      0
      40.50,      3,      Arrival,       1,   0,   0,      0
      51.69,      6,      Arrival,       2,   0,   1,      0
      65.50,      7,     Departed,       2,   1,   1,      0
      90.50,     10,     Departed,       2,   0,   1,      0
     117.24,      8,      Arrival,       1,   0,   0,      0
     142.24,     13,     Departed,       2,   0,   1,      0
     150.00,      2,    Breakdown,       1,   0,   0,      0
     182.99,     12,      Arrival,       1,   0,   0,      1
     209.10,     17,      Arrival,       1,   1,   0,      1
     378.34,     18,      Arrival,       1,   2,   0,      1
     449.02,     19,      Arrival,       1,   3,   0,      1
     450.53,     20,      Arrival,       1,   4,   0,      1
     471.85,     21,      Arrival,       1,   5,   0,      1
     494.57,     22,      Arrival,       1,   6,   0,      1
     515.35,     23,      Arrival,       1,   7,   0,      1
     643.67,     24,      Arrival,       1,   8,   0,      1
     665.48,     25,      Arrival,       1,   9,   0,      1
     666.41,     26,      Arrival,       1,  10,   0,      1
     722.65,     27,      Arrival,       1,  11,   0,      1
     730.59,     16,       Repair,       1,  12,   0,      1
     755.59,     31,     Departed,       2,  11,   1,      0
     764.18,     28,      Arrival,       2,  10,   1,      0
     780.59,     33,     Departed,       2,  11,   1,      0
     784.19,     34,      Arrival,       2,  10,   1,      0
     805.59,     36,     Departed,       2,  11,   1,      0
     813.21,     37,      Arrival,       2,  10,   1,      0
     830.59,     39,     Departed,       2,  11,   1,      0
     850.96,     40,      Arrival,       2,  10,   1,      0
     855.59,     42,     Departed,       2,  11,   1,      0
     880.59,     45,     Departed,       2,  10,   1,      0
     905.59,     47,     Departed,       2,   9,   1,      0
     930.59,     49,     Departed,       2,   8,   1,      0
     933.28,     43,      Arrival,       2,   7,   1,      0
     955.59,     51,     Departed,       2,   8,   1,      0
     980.59,     54,     Departed,       2,   7,   1,      0
     983.77,     52,      Arrival,       2,   6,   1,      0
    1005.59,     56,     Departed,       2,   7,   1,      0
